Unit_Name,No_Rooms,Bathroom,Locality,Region,Longitude,Latitude,Furnished,Area,Tower,Total_Facilities,Currency,Annual_Price
Taman Sari Semanggi Apartment 1BR Tower A,1,1,Semanggi,Jakarta Selatan,106.819159,-6.226598,1,43,Tower A,23,IDR,96000000
Puri Park View Apartment 2BR Semi Furnished,2,1,Kebon Jeruk,Jakarta Barat,106.756061,-6.192081,0,35,Tower CB,19,IDR,30000000
Metro Park Residence 2BR Fully Furnished,2,1,Kedoya,Jakarta Barat,106.757651,-6.186415,1,53,Tower Milan,22,IDR,70000000
Pondok Indah Golf Apartment 2BR View Golf Area,2,2,Pondok Indah,Jakarta Selatan,106.7846,-6.272637,1,85,Tower -,24,IDR,576000000
Season City Apartment 2BR Tower C,2,1,Grogol,Jakarta Barat,106.796056,-6.153652,0,48,Tower C,15,IDR,32000000
Green Pramuka City Apartment 2BR Fully Furnished,2,1,Cempaka Putih,Jakarta Pusat,106.873191,-6.187929,1,33,Tower Fagio,21,IDR,60000000
Springhill Terrace Residence 2BR Fully Furnished,2,1,Kemayoran,Jakarta Pusat,106.850107,-6.14907,1,58,Tower OAKWOOD,14,IDR,80000000
Kemang Village Apartment 3BR Fully Furnished,3,2,Kemang,Jakarta Selatan,106.811453,-6.259374,1,132,Tower Empire,22,IDR,240000000
Kalibata City Apartment 2BR Tower Gaharu,2,1,Pancoran,Jakarta Selatan,106.851836,-6.257163,1,33,Tower Gaharu,20,IDR,45400000
Green Pramuka City Apartment 2BR Tower Penelope,2,1,Cempaka Putih,Jakarta Pusat,106.873191,-6.187929,0,33,Tower Penelope,17,IDR,33000000
Wisma Gading Permai 2BR View City,2,1,Kelapa Gading,Jakarta Utara,106.900954,-6.168483,1,46,Tower a,19,IDR,34000000
Sunter Park View Apartment Studio Tower AC,0,1,Sunter,Jakarta Utara,106.88373,-6.157527,1,22,Tower AC,19,IDR,24000000
Casablanca East Residence 2BR Non Furnished,2,1,Pondok Bambu,Jakarta Timur,106.89933,-6.224079,0,50,Tower Cassablanca,13,IDR,35000000
Taman Rasuna Apartment 2BR Tower 12,2,1,Kuningan,Jakarta Selatan,106.83676,-6.218768,1,76,Tower 12,24,IDR,85200000
Vittoria Residence 2BR Tower B,2,1,Daan Mogot,Jakarta Barat,106.7354,-6.1557,0,42,Tower B,7,IDR,35000000
Lavenue Apartment 1BR Fully Furnished,1,1,Pancoran,Jakarta Selatan,106.842971,-6.24805,1,65,Tower North,21,IDR,120000000
Puri Park View Apartment 2BR View City,2,1,Kebon Jeruk,Jakarta Barat,106.756061,-6.192081,1,35,Tower E,20,IDR,48000000
Pakubuwono Terrace Studio Fully Furnished,0,1,Kebayoran Lama,Jakarta Selatan,106.769194,-6.237472,1,23,Tower North,18,IDR,43500000
Belmont Residence Studio View City,0,1,Kebon Jeruk,Jakarta Barat,106.762396,-6.200106,1,22,Tower MontBlanc,15,IDR,38000000
Hamptons Park Apartment 1BR Fully Furnished,1,1,Pondok Indah,Jakarta Selatan,106.791409,-6.282965,1,56,Tower A,24,IDR,150000000
Taman Melati Margonda Apartment Studio Tower A,0,1,Margonda,Depok,106.832472,-6.360354,1,23,Tower A,14,IDR,36000000
Taman Anggrek Residence 3BR Fully Furnished,3,2,Tanjung Duren,Jakarta Barat,106.7917,-6.1792,1,65,Tower Calypso,15,IDR,137000000
Thamrin Residence Apartment 1BR Fully Furnished,1,1,Thamrin,Jakarta Pusat,106.816842,-6.197352,1,39,Tower B,23,IDR,84000000
Signature Park Apartment Studio Fully Furnished,0,1,Tebet,Jakarta Selatan,106.854417,-6.242631,1,23,Tower TA,21,IDR,60000000
Puri Orchard Apartment Studio View Swimming Pool,0,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,1,26,Tower Cedar Heights,19,IDR,46000000
Patria Park Apartment 3+1BR View City,3,2,Cawang,Jakarta Timur,106.87616,-6.24354,1,82,Tower -,21,IDR,96000000
The Mansion Kemayoran Bougenville 1BR Tower Fontana,1,1,Kemayoran,Jakarta Pusat,106.85716,-6.14607,0,30,Tower Fontana,16,IDR,45000000
Mediterania Palace Kemayoran 2BR Fully Furnished,2,1,Kemayoran,Jakarta Pusat,106.85277,-6.154767,1,37,Tower B,20,IDR,68400000
Bassura City Apartment Studio View Pool,0,1,Cipinang,Jakarta Timur,106.879075,-6.225031,1,20,Tower H,18,IDR,37000000
Branz BSD Apartment 1BR Tower West,1,1,BSD City,Tangerang,106.6423,-6.3002,1,43,Tower West,6,IDR,80000000
Taman Anggrek Residence 2BR Fully Furnished,2,3,Tanjung Duren,Jakarta Barat,106.7917,-6.1792,1,99,Tower Beech,14,IDR,135000000
La Maison Barito Apartment 3BR Tower A,3,2,Kebayoran Baru,Jakarta Selatan,106.7944,-6.2463,1,169,Tower A,16,IDR,508900000
The Mansion Kemayoran Jasmine 2BR Non Furnished,2,1,Kemayoran,Jakarta Pusat,106.854936,-6.147823,0,49,Tower Bellavista,17,IDR,60000000
Sentra Timur Residence 1BR Tower abu abu,1,1,Cakung,Jakarta Timur,106.948933,-6.203631,1,30,Tower abu abu,21,IDR,36000000
City Resort Apartment 2BR Fully Furnished,2,1,Cengkareng,Jakarta Barat,106.731913,-6.13626,1,42,Tower Orchid,22,IDR,33000000
